x,y,spatial_ref,mean_DryBulbTemperature_Celsius_masked,mean_WindSpeed_MetrePerSecond_masked,mean_RelativeHumidity_masked
82463.65606663673,449716.52716991206,0,21.9283944195146,4.791774675354068,61.14273572838739
82463.65606663673,448824.28357803635,0,22.063760197882665,4.941280010771642,61.17270698862591
82463.65606663673,447932.03998616064,0,22.381076368106662,4.849180261572707,58.152155766832585
82463.65606663673,447039.79639428493,0,22.381076368106662,4.849180261572707,58.152155766832585
82463.65606663673,446147.5528024093,0,22.42602518041866,4.960976007244886,57.581556361263004
82463.65606663673,445255.30921053357,0,22.068786703900933,4.652061484900437,60.09081630463138
82463.65606663673,444363.06561865786,0,22.08920997759797,5.2236000697162055,60.9982288485538
83355.89965851243,449716.52716991206,0,21.898513689868942,4.910868271104591,61.98864213006277
83355.89965851243,448824.28357803635,0,22.019775477181366,4.951806859350887,62.034190066576144
83355.89965851243,447932.03998616064,0,22.019775477181366,4.951806859350887,62.034190066576144
83355.89965851243,447039.79639428493,0,22.370270803140674,4.751400109696716,58.33507111641974
83355.89965851243,446147.5528024093,0,22.399264401374964,4.714153707028963,58.027207318483526
83355.89965851243,445255.30921053357,0,22.383107891459805,4.585874983979131,58.151486696850625
83355.89965851243,444363.06561865786,0,22.286980005016126,4.956270325481256,58.570597192656614
83355.89965851243,443470.82202678215,0,22.286980005016126,4.956270325481256,58.570597192656614
84248.14325038814,449716.52716991206,0,22.26825601610954,5.10245282723667,59.1466190732396
84248.14325038814,448824.28357803635,0,22.307075181377957,4.660418384186334,59.04211393658874
84248.14325038814,447932.03998616064,0,22.307075181377957,4.660418384186334,59.04211393658874
84248.14325038814,447039.79639428493,0,22.333412778126196,4.514601062074418,58.872902738683685
84248.14325038814,446147.5528024093,0,22.422065809571553,4.688177006564008,57.799205266532944
84248.14325038814,445255.30921053357,0,22.411522912703695,4.5335325608614125,57.96567104802931
84248.14325038814,444363.06561865786,0,22.132108951795562,4.582567746389409,59.690026081178424
84248.14325038814,443470.82202678215,0,22.132108951795562,4.582567746389409,59.690026081178424
85140.38684226383,449716.52716991206,0,21.971534939924837,4.7063740454776495,62.63583004115243
85140.38684226383,448824.28357803635,0,22.01483872060976,4.589623142769144,61.25911932831693
85140.38684226383,447932.03998616064,0,22.01483872060976,4.589623142769144,61.25911932831693
85140.38684226383,447039.79639428493,0,22.37418589335871,4.606998653883231,58.36380103796054
85140.38684226383,446147.5528024093,0,22.445600567681474,4.770173508535001,57.49129102786532
85140.38684226383,445255.30921053357,0,22.438299309001362,4.709196103190963,57.575960859216316
85140.38684226383,444363.06561865786,0,22.120851605372174,4.742150923681289,59.773753765975925
85140.38684226383,443470.82202678215,0,22.120851605372174,4.742150923681289,59.773753765975925
86032.63043413954,449716.52716991206,0,22.038715222684598,4.526091788894655,61.12952731360161
86032.63043413954,448824.28357803635,0,21.802379738639647,4.670736988056023,62.61931579176713
86032.63043413954,447932.03998616064,0,21.802379738639647,4.670736988056023,62.61931579176713
86032.63043413954,447039.79639428493,0,22.233320035035103,4.758663924866739,59.71530965433604
86032.63043413954,446147.5528024093,0,22.337465357405467,4.732386241167616,58.702755988738055
86032.63043413954,445255.30921053357,0,22.248977793543645,4.747786288812108,59.583463138690725
86032.63043413954,444363.06561865786,0,22.025022153753753,4.793378474391824,60.79531032972988
86032.63043413954,443470.82202678215,0,22.025022153753753,4.793378474391824,60.79531032972988
