"cluster","choice_score_mean","choice_score_median","choice_score_min","choice_score_max","surface_temp_mean","surface_temp_median","surface_temp_min","surface_temp_max","dist_to_green_mean","dist_to_green_median","dist_to_green_min","dist_to_green_max","dist_to_blue_mean","dist_to_blue_median","dist_to_blue_min","dist_to_blue_max"
"1",25841.21,6259.23,183.27,731390.62,25.71,25.76,24.51,26.8,22.24,13.07,0,209.51,46.82,36.87,0,187.32
"2",11146.1,4324.4,40.78,254673.13,27.42,27.24,26.33,33.59,47.21,35.62,0,175.81,78.97,75.53,0,225.72
"3",29357.93,6813.11,0,964756.47,23.38,23.55,20.21,24.56,12.96,4.03,0,82.41,29.02,22,0,120.53
"4",9.03,1.5,0,156.85,25.54,25.77,23.06,28.52,18.11,7.93,0,93.78,32.71,20.48,0,133.05
